semantic_cluster,cluster_name,cluster_confidence,sentiment,sentiment_score,umap_x,umap_y,Reports,processed_text
2,📚 Academic Support & Wellbeing,0.98,Neutral,0.0,13.229142,6.414053,I'm not getting enough sleep and it's starting to affect my academic performance. I've tried adjusting my schedule but still can't seem to get enough rest.,im not getting enough sleep and its starting to affect my academic performance ive tried adjusting my schedule but still cant seem to get enough rest
2,📚 Academic Support & Wellbeing,0.98,Negative,-0.3626,13.543073,5.782054,"I'm feeling really overwhelmed with the amount of coursework I have to do, and it's causing a lot of stress and anxiety.",im feeling really overwhelmed with the amount of coursework i have to do and its causing a lot of stress and anxiety
2,📚 Academic Support & Wellbeing,0.98,Positive,0.1655,12.587818,5.912376,I've been experiencing mental health issues and it's making it hard to focus on school. I'm trying to seek help but it's been a slow process.,ive been experiencing mental health issues and its making it hard to focus on school im trying to seek help but its been a slow process
2,📚 Academic Support & Wellbeing,0.98,Positive,0.2023,14.239452,6.716198,"I have a lot of commitments outside of school, including family responsibilities, and it's been a challenge to balance everything.",i have a lot of commitments outside of school including family responsibilities and its been a challenge to balance everything
2,📚 Academic Support & Wellbeing,0.98,Positive,0.34,13.793129,6.920398,I'm struggling with time management and finding it hard to prioritize my coursework. I'm looking for resources to help me improve my skills.,im struggling with time management and finding it hard to prioritize my coursework im looking for resources to help me improve my skills
9,🎓 Teaching Quality & Engagement,0.5717,Positive,0.4091,12.863389,-0.188053,The course material for my history class is very dense and difficult to understand. I'm hoping to find a tutor or study group to help me navigate it.,the course material for my history class is very dense and difficult to understand im hoping to find a tutor or study group to help me navigate it
2,📚 Academic Support & Wellbeing,0.98,Positive,0.3612,13.930275,6.910944,I've been working a lot lately and it's been hard to find time to focus on schoolwork. I'm trying to find ways to better manage my time.,ive been working a lot lately and its been hard to find time to focus on schoolwork im trying to find ways to better manage my time
2,📚 Academic Support & Wellbeing,0.98,Negative,-0.1027,13.85254,5.664908,The amount of reading and writing assignments in my English class is overwhelming. I'm finding it hard to keep up with the workload.,the amount of reading and writing assignments in my english class is overwhelming im finding it hard to keep up with the workload
2,📚 Academic Support & Wellbeing,0.98,Negative,-0.0516,13.185692,5.709812,I'm feeling a lot of stress and anxiety about upcoming exams. I'm trying to develop better study habits to help me manage my stress.,im feeling a lot of stress and anxiety about upcoming exams im trying to develop better study habits to help me manage my stress
2,📚 Academic Support & Wellbeing,0.98,Negative,-0.4939,14.187595,6.611594,I'm having trouble balancing my extracurricular activities with my coursework. I'm considering cutting back on some activities to focus more on school.,im having trouble balancing my extracurricular activities with my coursework im considering cutting back on some activities to focus more on school
2,📚 Academic Support & Wellbeing,0.98,Positive,0.296,12.826788,6.010261,I'm feeling burnt out and exhausted from the demands of my coursework. I'm trying to find ways to recharge and take care of my mental health.,im feeling burnt out and exhausted from the demands of my coursework im trying to find ways to recharge and take care of my mental health
2,📚 Academic Support & Wellbeing,0.98,Positive,0.5574,14.064281,6.867314,I have a lot of personal commitments that are making it difficult to prioritize my schoolwork. I'm looking for strategies to help me better manage my time.,i have a lot of personal commitments that are making it difficult to prioritize my schoolwork im looking for strategies to help me better manage my time
9,🎓 Teaching Quality & Engagement,0.98,Positive,0.2006,12.811576,-0.415682,The course material for my physics class is very challenging and I'm struggling to keep up. I'm considering seeking additional help from a tutor.,the course material for my physics class is very challenging and im struggling to keep up im considering seeking additional help from a tutor
2,📚 Academic Support & Wellbeing,0.98,Positive,0.1779,13.960208,5.689176,I'm feeling overwhelmed with the amount of reading and assignments in my sociology class. I'm trying to break things down into smaller tasks to make it more manageable.,im feeling overwhelmed with the amount of reading and assignments in my sociology class im trying to break things down into smaller tasks to make it more manageable
2,📚 Academic Support & Wellbeing,0.98,Negative,-0.6597,13.241042,6.427853,I'm having trouble sleeping at night and it's causing me to feel tired and unfocused during the day. I'm looking for ways to improve my sleep habits.,im having trouble sleeping at night and its causing me to feel tired and unfocused during the day im looking for ways to improve my sleep habits
2,📚 Academic Support & Wellbeing,0.98,Neutral,-0.0258,13.080048,5.660861,The pressure to maintain good grades is causing me a lot of stress and anxiety. I'm trying to find a healthy balance between school and self-care.,the pressure to maintain good grades is causing me a lot of stress and anxiety im trying to find a healthy balance between school and selfcare
2,📚 Academic Support & Wellbeing,0.98,Negative,-0.4939,12.657632,5.908386,I'm struggling with mental health issues that are making it hard to focus on school. I'm working with a therapist to develop coping strategies.,im struggling with mental health issues that are making it hard to focus on school im working with a therapist to develop coping strategies
2,📚 Academic Support & Wellbeing,0.98,Positive,0.3612,14.161985,6.909067,I have a part-time job that's making it hard to balance my schoolwork. I'm trying to negotiate a better schedule with my employer.,i have a parttime job thats making it hard to balance my schoolwork im trying to negotiate a better schedule with my employer
2,📚 Academic Support & Wellbeing,0.98,Positive,0.765,13.802677,6.059254,"I'm finding it hard to stay motivated with my coursework. I'm trying to set smaller, achievable goals to help me stay on track.",im finding it hard to stay motivated with my coursework im trying to set smaller achievable goals to help me stay on track
1,📌 Sports Issues,0.98,Positive,0.101,5.692534,13.696136, I'm having trouble meeting the athletic eligibility requirements because of a schedule conflict with one of my classes. I wish there was more flexibility., im having trouble meeting the athletic eligibility requirements because of a schedule conflict with one of my classes i wish there was more flexibility
1,📌 Sports Issues,0.8566,Negative,-0.6486,5.371244,13.573386,"As an athlete, I'm frustrated with the limited access to athletic facilities during peak hours. It's difficult to fit in training sessions when the gym is always packed.",as an athlete im frustrated with the limited access to athletic facilities during peak hours its difficult to fit in training sessions when the gym is always packed
1,📌 Sports Issues,0.98,Positive,0.101,5.70626,13.702459,I'm having trouble meeting the athletic eligibility requirements because of a schedule conflict with one of my classes. I wish there was more flexibility.,im having trouble meeting the athletic eligibility requirements because of a schedule conflict with one of my classes i wish there was more flexibility
1,📌 Sports Issues,0.98,Negative,-0.6115,5.21658,14.681566,"I've had to deal with a sports-related injury, and the university's medical resources for athletes are very limited. I've had to seek treatment outside of campus.",ive had to deal with a sportsrelated injury and the universitys medical resources for athletes are very limited ive had to seek treatment outside of campus
1,📌 Sports Issues,0.8433,Negative,-0.0816,6.517872,14.352359,"I don't like the culture of the sports team I'm on. It's very exclusive, and some members aren't treated fairly.",i dont like the culture of the sports team im on its very exclusive and some members arent treated fairly
1,📌 Sports Issues,0.1347,Negative,-0.4767,5.014803,16.911203,I'm disappointed with the gender inequality in our sports program. The women's teams don't get the same funding or recognition as the men's teams.,im disappointed with the gender inequality in our sports program the womens teams dont get the same funding or recognition as the mens teams
1,📌 Sports Issues,0.3489,Positive,0.1376,5.189234,15.486268,"I'm concerned about the university's compliance with Title IX. It seems like some sports programs receive preferential treatment, and that's not fair.",im concerned about the universitys compliance with title ix it seems like some sports programs receive preferential treatment and thats not fair
1,📌 Sports Issues,0.8571,Neutral,0.0,5.345,13.590061,"The athletic facilities are always overcrowded, and I have to wait a long time to use the equipment I need for my training.",the athletic facilities are always overcrowded and i have to wait a long time to use the equipment i need for my training
1,📌 Sports Issues,0.98,Positive,0.3818,5.716638,13.807014,I feel like the athletic eligibility requirements are too strict and prevent many students from participating in sports.,i feel like the athletic eligibility requirements are too strict and prevent many students from participating in sports
1,📌 Sports Issues,0.98,Negative,-0.4588,5.20169,14.666102,"I suffered a sports-related injury and had to take time off from training, but the university's support for injured athletes is lacking.",i suffered a sportsrelated injury and had to take time off from training but the universitys support for injured athletes is lacking
1,📌 Sports Issues,0.8433,Negative,-0.357,6.436246,14.320067," The sports team culture at this university is toxic, and I don't feel welcome on the team.", the sports team culture at this university is toxic and i dont feel welcome on the team
1,📌 Sports Issues,0.1347,Neutral,0.0,5.027976,16.896376," The gender inequality in sports is apparent, and the university needs to invest more resources into women's sports programs.", the gender inequality in sports is apparent and the university needs to invest more resources into womens sports programs
1,📌 Sports Issues,0.3526,Positive,0.6344,5.200972,15.468936, The university needs to do more to ensure Title IX compliance and make sure all sports programs are treated fairly., the university needs to do more to ensure title ix compliance and make sure all sports programs are treated fairly
1,📌 Sports Issues,0.914,Negative,-0.4404,5.398472,13.54918, It's frustrating that I can't access the athletic facilities I need because of strict scheduling limitations., its frustrating that i cant access the athletic facilities i need because of strict scheduling limitations
1,📌 Sports Issues,0.98,Positive,0.3384,5.733808,13.744181," I wish the athletic eligibility requirements were more flexible, as they make it difficult for me to balance sports and academics.", i wish the athletic eligibility requirements were more flexible as they make it difficult for me to balance sports and academics
1,📌 Sports Issues,0.98,Negative,-0.6808,5.206198,14.704669," I'm struggling to get medical attention for my sports-related injury, and the university's resources are not sufficient.", im struggling to get medical attention for my sportsrelated injury and the universitys resources are not sufficient
1,📌 Sports Issues,0.8433,Negative,-0.25,6.548534,14.31015," The sports team culture can be cliquey and exclusive, making it difficult for some members to feel included.", the sports team culture can be cliquey and exclusive making it difficult for some members to feel included
1,📌 Sports Issues,0.1347,Neutral,0.0,5.034919,16.87294, I've witnessed gender inequality within the sports program firsthand and feel it's time for change., ive witnessed gender inequality within the sports program firsthand and feel its time for change
1,📌 Sports Issues,0.3562,Positive,0.6682,5.214658,15.45903, The university needs to do more to ensure Title IX compliance and provide equal opportunities for all sports programs., the university needs to do more to ensure title ix compliance and provide equal opportunities for all sports programs
1,📌 Sports Issues,0.9482,Negative,-0.4404,5.454678,13.674798, The athletic facilities are not well-maintained and are often dirty and overcrowded., the athletic facilities are not wellmaintained and are often dirty and overcrowded
1,📌 Sports Issues,0.98,Positive,0.0772,5.6945,13.71783, The athletic eligibility requirements are too strict and limit the number of students who can participate in sports programs., the athletic eligibility requirements are too strict and limit the number of students who can participate in sports programs
1,📌 Sports Issues,0.98,Negative,-0.8481,5.181996,14.546047, I'm frustrated with the lack of resources available to athletes who suffer from injuries or other medical concerns., im frustrated with the lack of resources available to athletes who suffer from injuries or other medical concerns
1,📌 Sports Issues,0.8433,Positive,0.6808,6.547714,14.33521, The sports team culture is not inclusive and often feels like a popularity contest., the sports team culture is not inclusive and often feels like a popularity contest
1,📌 Sports Issues,0.1347,Positive,0.3818,5.033232,16.893496," I've noticed a clear gender inequality within the sports program, and it's time for the university to take action.", ive noticed a clear gender inequality within the sports program and its time for the university to take action
1,📌 Sports Issues,0.3485,Positive,0.6369,5.179248,15.526713," The university needs to ensure Title IX compliance and provide equal opportunities for all athletes, regardless of gender.", the university needs to ensure title ix compliance and provide equal opportunities for all athletes regardless of gender
1,📌 Sports Issues,0.8937,Positive,0.4019,5.370071,13.565668, The limited access to athletic facilities makes it challenging to train effectively and reach my goals., the limited access to athletic facilities makes it challenging to train effectively and reach my goals
1,📌 Sports Issues,0.98,Negative,-0.4767,5.76488,13.731997, The athletic eligibility requirements don't take into account the unique circumstances of each athlete and can be unfair., the athletic eligibility requirements dont take into account the unique circumstances of each athlete and can be unfair
1,📌 Sports Issues,0.98,Positive,0.4404,5.284432,14.573322," The university needs to invest in better medical resources for athletes, as the current options are insufficient.", the university needs to invest in better medical resources for athletes as the current options are insufficient
1,📌 Sports Issues,0.8433,Positive,0.4877,6.508404,14.318668, The sports team culture needs to be more inclusive and welcoming to all members., the sports team culture needs to be more inclusive and welcoming to all members
1,📌 Sports Issues,0.1347,Positive,0.2023,5.033996,16.890373, I've experienced gender inequality within the sports program and feel that it's a significant issue that needs to be addressed., ive experienced gender inequality within the sports program and feel that its a significant issue that needs to be addressed
1,📌 Sports Issues,0.3478,Positive,0.6705,5.230175,15.451919, The university needs to take steps to ensure Title IX compliance and create a level playing field for all athletes., the university needs to take steps to ensure title ix compliance and create a level playing field for all athletes
1,📌 Sports Issues,0.7365,Neutral,-0.0,5.462296,13.680338,I feel frustrated with the limited access to the athletic facilities on campus. It's hard to stay active and healthy when you can't even use the gym when you want to.,i feel frustrated with the limited access to the athletic facilities on campus its hard to stay active and healthy when you cant even use the gym when you want to
1,📌 Sports Issues,0.98,Negative,-0.6343,5.773682,13.750967,The athletic eligibility requirements for sports teams are so strict. It's unfair that some students can't participate just because they don't meet certain criteria.,the athletic eligibility requirements for sports teams are so strict its unfair that some students cant participate just because they dont meet certain criteria
1,📌 Sports Issues,0.98,Positive,0.4215,5.262572,14.671273,I'm concerned about the injuries that happen during sports games and practices. The university needs to prioritize the health and safety of its athletes.,im concerned about the injuries that happen during sports games and practices the university needs to prioritize the health and safety of its athletes
1,📌 Sports Issues,0.8433,Positive,0.4767,6.494922,14.316548,I've noticed that the sports team culture on campus can be exclusive and elitist. It makes it hard for newcomers to feel welcome.,ive noticed that the sports team culture on campus can be exclusive and elitist it makes it hard for newcomers to feel welcome
1,📌 Sports Issues,0.1347,Positive,0.3182,5.028102,16.897152,Gender inequality in sports is a serious issue that needs to be addressed. Women's sports teams should be given the same opportunities and resources as men's teams.,gender inequality in sports is a serious issue that needs to be addressed womens sports teams should be given the same opportunities and resources as mens teams
1,📌 Sports Issues,0.9302,Positive,0.4215,5.589988,14.439326,"I'm disappointed with the lack of support for student athletes. It's hard to balance sports and academics, and more resources need to be provided to help athletes succeed.",im disappointed with the lack of support for student athletes its hard to balance sports and academics and more resources need to be provided to help athletes succeed
1,📌 Sports Issues,0.369,Positive,0.6908,5.20636,15.439126,The Title IX compliance of the university's sports programs is concerning. It's important to make sure that all students are treated fairly and given equal opportunities.,the title ix compliance of the universitys sports programs is concerning its important to make sure that all students are treated fairly and given equal opportunities
1,📌 Sports Issues,0.9201,Negative,-0.128,5.68461,14.128438,It's frustrating that there are limited options for sports and athletics programs on campus. More variety would be appreciated.,its frustrating that there are limited options for sports and athletics programs on campus more variety would be appreciated
1,📌 Sports Issues,0.8433,Negative,-0.128,6.189021,14.234856,I'm concerned about the lack of diversity on the sports teams. It's important for all students to feel represented and included.,im concerned about the lack of diversity on the sports teams its important for all students to feel represented and included
1,📌 Sports Issues,0.8415,Positive,0.4215,5.383215,13.582812, Athletic facilities are often overcrowded and difficult to access. This makes it hard to stay motivated to exercise and stay active., athletic facilities are often overcrowded and difficult to access this makes it hard to stay motivated to exercise and stay active
1,📌 Sports Issues,0.98,Positive,0.1027,5.807309,13.716923, The athletic eligibility requirements can be confusing and hard to navigate. The university should provide clearer guidelines and resources to help students understand the process., the athletic eligibility requirements can be confusing and hard to navigate the university should provide clearer guidelines and resources to help students understand the process
1,📌 Sports Issues,0.98,Positive,0.5574,5.305579,14.604379, The university needs to prioritize the health and wellbeing of its student athletes. This includes providing adequate medical resources and support., the university needs to prioritize the health and wellbeing of its student athletes this includes providing adequate medical resources and support
1,📌 Sports Issues,0.8433,Positive,0.7906,6.445601,14.290712, The sports team culture on campus can be toxic and harmful. It's important for the university to promote a positive and inclusive environment., the sports team culture on campus can be toxic and harmful its important for the university to promote a positive and inclusive environment
1,📌 Sports Issues,0.1347,Neutral,-0.0056,5.0822,16.837957, Gender inequality in sports is unacceptable. The university needs to do more to support and empower women athletes., gender inequality in sports is unacceptable the university needs to do more to support and empower women athletes
1,📌 Sports Issues,0.98,Negative,-0.1174,5.719769,14.190851, It's disappointing that there are limited opportunities for students who aren't interested in traditional sports. More alternative options would be appreciated., its disappointing that there are limited opportunities for students who arent interested in traditional sports more alternative options would be appreciated
1,📌 Sports Issues,0.98,Negative,-0.5659,5.526726,14.402601, The lack of resources for student athletes is frustrating. It's hard to succeed in sports and academics without proper support., the lack of resources for student athletes is frustrating its hard to succeed in sports and academics without proper support
1,📌 Sports Issues,0.3482,Positive,0.3182,5.222182,15.507681, The university needs to make sure that all sports programs are compliant with Title IX regulations. Discrimination should not be tolerated., the university needs to make sure that all sports programs are compliant with title ix regulations discrimination should not be tolerated
1,📌 Sports Issues,0.9376,Positive,0.802,5.63043,13.987435," Athletic facilities should be accessible to all students, regardless of their major or athletic eligibility. Everyone should have the opportunity to stay active and healthy.", athletic facilities should be accessible to all students regardless of their major or athletic eligibility everyone should have the opportunity to stay active and healthy
1,📌 Sports Issues,0.8433,Positive,0.25,6.068828,14.298001, I'm concerned about the lack of diversity among the coaches and staff of the sports teams. It's important for students to have role models and mentors who look like them., im concerned about the lack of diversity among the coaches and staff of the sports teams its important for students to have role models and mentors who look like them
1,📌 Sports Issues,0.98,Positive,0.5574,5.246147,14.685836, Sports-related injuries can have long-lasting effects on a student's health and wellbeing. It's important for the university to take preventative measures and prioritize safety., sportsrelated injuries can have longlasting effects on a students health and wellbeing its important for the university to take preventative measures and prioritize safety
1,📌 Sports Issues,0.98,Negative,-0.128,5.768468,13.729185, The athletic eligibility requirements can be unfair to students who don't have the same opportunities as others. The university should take socioeconomic factors into account when evaluating eligibility., the athletic eligibility requirements can be unfair to students who dont have the same opportunities as others the university should take socioeconomic factors into account when evaluating eligibility
1,📌 Sports Issues,0.8433,Positive,0.7184,6.473418,14.298487," The sports team culture can be exclusive and cliquey, making it hard for new students to feel included. It's important for the university to foster a welcoming and supportive environment.", the sports team culture can be exclusive and cliquey making it hard for new students to feel included its important for the university to foster a welcoming and supportive environment
1,📌 Sports Issues,0.1347,Positive,0.4364,5.05728,16.85585," Gender inequality in sports is a pervasive issue that affects all students, not just athletes. The university should do more to promote gender equity and empowerment.", gender inequality in sports is a pervasive issue that affects all students not just athletes the university should do more to promote gender equity and empowerment
1,📌 Sports Issues,0.98,Positive,0.6204,5.726215,14.21911, The lack of options for sports and athletics programs on campus is disappointing. More variety would help students find activities that they enjoy and feel passionate about., the lack of options for sports and athletics programs on campus is disappointing more variety would help students find activities that they enjoy and feel passionate about
1,📌 Sports Issues,0.9201,Positive,0.8479,5.576246,14.455081, Student athletes often face unique challenges when it comes to balancing sports and academics. The university needs to provide more support and resources to help them succeed., student athletes often face unique challenges when it comes to balancing sports and academics the university needs to provide more support and resources to help them succeed
1,📌 Sports Issues,0.7741,Negative,-0.7783,5.424796,13.59872,I am frustrated with the limited access to athletic facilities on campus. It's difficult to find a time when the gym or fields are not overcrowded.,i am frustrated with the limited access to athletic facilities on campus its difficult to find a time when the gym or fields are not overcrowded
1,📌 Sports Issues,0.98,Positive,0.3612,5.723489,13.806009,The athletic eligibility requirements are too strict and exclusionary. It feels like only a select few students are able to participate in sports.,the athletic eligibility requirements are too strict and exclusionary it feels like only a select few students are able to participate in sports
1,📌 Sports Issues,0.98,Negative,-0.4067,5.210712,14.629609,I am concerned about the lack of attention given to injuries and sports-related medical concerns. It feels like student-athletes are not given adequate support.,i am concerned about the lack of attention given to injuries and sportsrelated medical concerns it feels like studentathletes are not given adequate support
1,📌 Sports Issues,0.8433,Negative,-0.2732,6.392534,14.336798,The sports team culture on campus is toxic and exclusionary. It's discouraging to see such a lack of respect for fellow students.,the sports team culture on campus is toxic and exclusionary its discouraging to see such a lack of respect for fellow students
1,📌 Sports Issues,0.1347,Negative,-0.128,5.00565,16.920095,I am disappointed with the gender inequality in sports. Women's teams are often underfunded and not given the same opportunities as men's teams.,i am disappointed with the gender inequality in sports womens teams are often underfunded and not given the same opportunities as mens teams
1,📌 Sports Issues,0.3477,Neutral,-0.0314,5.173504,15.478428,The university needs to do more to ensure Title IX compliance in all aspects of the athletics programs. It's unacceptable for any student to feel discriminated against or unsafe.,the university needs to do more to ensure title ix compliance in all aspects of the athletics programs its unacceptable for any student to feel discriminated against or unsafe
1,📌 Sports Issues,0.98,Positive,0.25,5.68272,14.333493,It's frustrating that the university only invests in certain sports programs while neglecting others. It's important to support a variety of athletic interests.,its frustrating that the university only invests in certain sports programs while neglecting others its important to support a variety of athletic interests
1,📌 Sports Issues,0.98,Positive,0.6705,5.796026,14.31328,The athletic department should provide more resources and training for coaches to ensure a safe and inclusive environment for all athletes.,the athletic department should provide more resources and training for coaches to ensure a safe and inclusive environment for all athletes
1,📌 Sports Issues,0.8433,Positive,0.2023,6.06366,14.281346,I have concerns about the lack of diversity and representation within the athletic department staff. It's important for all students to feel seen and supported.,i have concerns about the lack of diversity and representation within the athletic department staff its important for all students to feel seen and supported
1,📌 Sports Issues,0.789,Negative,-0.6486,5.298648,13.622334, I am frustrated by the athletic facilities' inconsistent hours and limited availability during peak times., i am frustrated by the athletic facilities inconsistent hours and limited availability during peak times
1,📌 Sports Issues,0.98,Positive,0.25,5.756404,13.733871, The athletic eligibility requirements should be revised to be more inclusive of students with different abilities and backgrounds., the athletic eligibility requirements should be revised to be more inclusive of students with different abilities and backgrounds
4,💰 Financial Aid & Administration,0.98,Positive,0.4019,10.252084,5.281444," The university needs to prioritize mental health support for student-athletes, especially during high-stress seasons.", the university needs to prioritize mental health support for studentathletes especially during highstress seasons
1,📌 Sports Issues,0.8433,Positive,0.7818,6.515823,14.322701," The sports team culture needs to be more welcoming and supportive, rather than exclusive and competitive.", the sports team culture needs to be more welcoming and supportive rather than exclusive and competitive
1,📌 Sports Issues,0.98,Positive,0.5423,5.222803,14.638981, I am concerned about the lack of attention given to preventing and addressing sports-related injuries. It's important for athletes to receive adequate care., i am concerned about the lack of attention given to preventing and addressing sportsrelated injuries its important for athletes to receive adequate care
1,📌 Sports Issues,0.98,Negative,-0.6808,5.713703,14.325748, It's disappointing to see the unequal distribution of resources and funding among different sports programs on campus., its disappointing to see the unequal distribution of resources and funding among different sports programs on campus
4,💰 Financial Aid & Administration,0.98,Positive,0.4019,8.52533,7.33562," I believe that the university should provide more scholarships and financial support for student-athletes, especially those from underprivileged backgrounds.", i believe that the university should provide more scholarships and financial support for studentathletes especially those from underprivileged backgrounds
4,💰 Financial Aid & Administration,0.98,Positive,0.5542,10.275105,5.267089," The university needs to do more to support the mental and emotional health of student-athletes, including providing access to therapy and counseling services.", the university needs to do more to support the mental and emotional health of studentathletes including providing access to therapy and counseling services
1,📌 Sports Issues,0.98,Positive,0.7351,5.317395,14.744161," The athletic department should prioritize the safety and well-being of all athletes, rather than just focusing on winning.", the athletic department should prioritize the safety and wellbeing of all athletes rather than just focusing on winning
1,📌 Sports Issues,0.1347,Negative,-0.0516,5.004258,16.920008," It's frustrating to see the gender disparities in sports, especially when it comes to funding and support for women's teams.", its frustrating to see the gender disparities in sports especially when it comes to funding and support for womens teams
1,📌 Sports Issues,0.98,Positive,0.4588,5.72303,14.236015, The university should offer more sports programs that cater to students' diverse interests and abilities., the university should offer more sports programs that cater to students diverse interests and abilities
1,📌 Sports Issues,0.3473,Negative,-0.4019,5.189727,15.490271, I have concerns about the athletic department's handling of Title IX complaints and the overall culture of accountability., i have concerns about the athletic departments handling of title ix complaints and the overall culture of accountability
1,📌 Sports Issues,0.98,Neutral,0.0,5.692345,13.924963, The athletic facilities should be more accessible and accommodating for students with disabilities., the athletic facilities should be more accessible and accommodating for students with disabilities
5,🌍 Diversity & Inclusion Support,0.9542,Positive,0.2732,9.876447,11.990798, I am concerned about the lack of diversity and representation among the student-athletes themselves. It's important for all students to have equal opportunities., i am concerned about the lack of diversity and representation among the studentathletes themselves its important for all students to have equal opportunities
1,📌 Sports Issues,0.98,Negative,-0.4215,5.774082,14.363137, It's disappointing to see the lack of support and attention given to non-varsity sports programs on campus., its disappointing to see the lack of support and attention given to nonvarsity sports programs on campus
1,📌 Sports Issues,0.98,Neutral,0.0,5.241825,14.670609," The athletic department should prioritize the mental and physical health of all athletes, regardless of their level of competition.", the athletic department should prioritize the mental and physical health of all athletes regardless of their level of competition
1,📌 Sports Issues,0.9229,Negative,-0.5267,5.265888,13.709166, I am frustrated with the inconsistent and often late communication from coaches and athletic staff., i am frustrated with the inconsistent and often late communication from coaches and athletic staff
1,📌 Sports Issues,0.98,Positive,0.7506,5.247179,14.688434," It's important for the university to prioritize the safety of all athletes, including implementing proper safety protocols and resources for injuries.", its important for the university to prioritize the safety of all athletes including implementing proper safety protocols and resources for injuries
1,📌 Sports Issues,0.98,Positive,0.5106,5.2854,14.622916, The university should invest in more preventative measures to avoid sports-related injuries and promote overall wellness., the university should invest in more preventative measures to avoid sportsrelated injuries and promote overall wellness
1,📌 Sports Issues,0.1347,Positive,0.6369,5.099558,16.823698, The gender disparities in sports must be addressed and rectified to ensure equal opportunities for all students., the gender disparities in sports must be addressed and rectified to ensure equal opportunities for all students
6,💼 Career & Internship Opportunities,0.98,Neutral,0.0,11.666094,8.659541,There seems to be a scarcity of available internships and job openings in my field of study.,there seems to be a scarcity of available internships and job openings in my field of study
6,💼 Career & Internship Opportunities,0.98,Neutral,0.0,11.651363,8.622295,There seems to be a scarcity of available internships and job openings in my field of study.,there seems to be a scarcity of available internships and job openings in my field of study
6,💼 Career & Internship Opportunities,0.98,Positive,0.296,11.032641,7.810498,I'm having a hard time finding suitable job opportunities that align with my career goals.,im having a hard time finding suitable job opportunities that align with my career goals
6,💼 Career & Internship Opportunities,0.98,Neutral,-0.0258,10.33527,9.594284,The lack of available networking opportunities makes it difficult to connect with professionals in my desired field.,the lack of available networking opportunities makes it difficult to connect with professionals in my desired field
6,💼 Career & Internship Opportunities,0.98,Positive,0.1779,11.038142,8.796045,The professional development opportunities offered by the university are limited and not sufficient to meet the demands of the job market.,the professional development opportunities offered by the university are limited and not sufficient to meet the demands of the job market
6,💼 Career & Internship Opportunities,0.98,Positive,0.5423,11.602346,8.581907,I feel like I'm competing with too many students for the limited number of internship and job opportunities available.,i feel like im competing with too many students for the limited number of internship and job opportunities available
6,💼 Career & Internship Opportunities,0.98,Negative,-0.4215,11.008041,8.07115,"Despite my efforts, I'm struggling to find job openings that match my qualifications and experience.",despite my efforts im struggling to find job openings that match my qualifications and experience
6,💼 Career & Internship Opportunities,0.98,Positive,0.3818,10.344345,9.763388,The university needs to do more to provide networking opportunities for students to connect with alumni and other professionals.,the university needs to do more to provide networking opportunities for students to connect with alumni and other professionals
6,💼 Career & Internship Opportunities,0.98,Positive,0.4522,10.914109,9.22441,The career services office should offer more resources to help students navigate the job market and find suitable employment.,the career services office should offer more resources to help students navigate the job market and find suitable employment
6,💼 Career & Internship Opportunities,0.98,Positive,0.296,11.556442,8.609825,The lack of internships and job opportunities is making it difficult for me to gain practical experience in my field.,the lack of internships and job opportunities is making it difficult for me to gain practical experience in my field
6,💼 Career & Internship Opportunities,0.98,Positive,0.1027,11.085784,8.631557,I feel like I'm at a disadvantage in the job market due to the limited professional development opportunities provided by the university.,i feel like im at a disadvantage in the job market due to the limited professional development opportunities provided by the university
6,💼 Career & Internship Opportunities,0.98,Positive,0.4019,10.589972,9.61876,The university should offer more career fairs and networking events to help students connect with potential employers.,the university should offer more career fairs and networking events to help students connect with potential employers
6,💼 Career & Internship Opportunities,0.98,Negative,-0.6808,11.097827,7.989987,It's frustrating to constantly come across dead ends when searching for job opportunities in my field.,its frustrating to constantly come across dead ends when searching for job opportunities in my field
6,💼 Career & Internship Opportunities,0.98,Neutral,-0.0334,11.507853,8.385762,"The competition for available internships and job openings is extremely high, making it even more difficult to secure employment.",the competition for available internships and job openings is extremely high making it even more difficult to secure employment
6,💼 Career & Internship Opportunities,0.98,Positive,0.4019,10.740607,9.377293,The university needs to offer more workshops and training programs to help students develop the necessary skills for the job market.,the university needs to offer more workshops and training programs to help students develop the necessary skills for the job market
6,💼 Career & Internship Opportunities,0.98,Positive,0.2944,11.163278,8.115218,The job search process has been extremely challenging and time-consuming due to the lack of available job opportunities.,the job search process has been extremely challenging and timeconsuming due to the lack of available job opportunities
6,💼 Career & Internship Opportunities,0.98,Positive,0.3182,11.035177,9.423771,The university should work to establish more partnerships with companies and organizations to increase the availability of internships and job openings.,the university should work to establish more partnerships with companies and organizations to increase the availability of internships and job openings
4,💰 Financial Aid & Administration,0.98,Positive,0.5859,8.155418,6.432757,I'm having trouble finding job opportunities that offer the pay and benefits I need to support myself financially.,im having trouble finding job opportunities that offer the pay and benefits i need to support myself financially
6,💼 Career & Internship Opportunities,0.98,Positive,0.5423,11.494573,8.058412,The limited availability of job opportunities is causing me a great deal of stress and anxiety about my future career prospects.,the limited availability of job opportunities is causing me a great deal of stress and anxiety about my future career prospects
6,💼 Career & Internship Opportunities,0.98,Positive,0.3818,10.790039,9.273034,The university should provide more resources for students to learn about job opportunities outside of their immediate area.,the university should provide more resources for students to learn about job opportunities outside of their immediate area
